areaEN,areaTH,lat,long,nameEN,nameTH,stationID,stationType
"Kanchanaphisek Rd, Bang Khun Thian, Bangkok","ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ",13.636514,100.414262,Highway NO.3902 km.13 +600,ริมถนนทางหลวงหมายเลข 3902 ,03t,GROUND
"Bang Na, Khet Bang Na, Bangkok","แขวงบางนา, เขตบางนา, กรุงเทพฯ",13.666113,100.605741,Thai Meteorological Department ,กรมอุตุนิยมวิทยาบางนา,05t,GROUND
"Khlong Chan, Khet Bang Kapi, Bangkok","แขวงคลองจั่น, เขตบางกะปิ, กรุงเทพฯ",13.779539,100.645654,National Housing Authority Klongchan,เคหะชุมชนคลองจั่น,10t,GROUND
"Din Daeng, Khet Din Daeng, Bangkok","แขวงดินแดง, เขตดินแดง, กรุงเทพฯ",13.775516,100.569206,National Housing  Huaykwang,การเคหะชุมชนห้วยขวาง ,11t,GROUND
"Rama IV Rd. Khet Pathum Wan, Bangkok","ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ",13.729984,100.536443,Chulalongkorn Hospital,โรงพยาบาลจุฬาลงกรณ์,50t,GROUND
"Intarapitak Rd. Khet Thon Buri, Bangkok","ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ",13.727557,100.486604,Thonburi Power Sub-Station,การไฟฟ้าย่อยธนบุรี ,52t,GROUND
"Lat Phrao Rd. Khet Wang Thonglang, Bangkok","ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ",13.795414,100.592899,Chokchai Police Station,สถานีตำรวจนครบาลโชคชัย ,53t,GROUND
"Din Daeng Rd. Khet Din Daeng, Bangkok","ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ",13.762609,100.550361,National Housing Authority Dindaeng,การเคหะชุมชนดินแดง ,54t,GROUND
"Phaya Thai, Khet Phaya Thai, Bangkok","แขวงพญาไท, เขตพญาไท, กรุงเทพฯ",13.783143,100.540529,The Government Public Relations Department ,กรมประชาสัมพันธ์,59t,GROUND
"Pubpla, Khet Wang Thonglang, Bangkok","แขวงพลับพลา, เขตวังทองหลาง, กรุงเทพฯ",13.76963,100.614562,Bodindecha Sing Singhaseni School,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,61t,GROUND
"Ban Nuea, Mueang, Kanchanaburi","ต.บ้านเหนือ อ.เมือง, จ.กาญจนบุรี",14.022425,99.536118,Kanchanaburi Meteorological Station,สถานีอุตุนิยมวิทยา จ.กาญจนบุรี,79t,GROUND
"Nai Mueang, Mueang, Khon Kaen","ต.ในเมือง, อ.เมือง, ขอนแก่น",16.445329,102.835251,Hydrogeological Group Water Resources Regional Office4 khonkaen,ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาคที่4 ขอนแก่น,46t,GROUND
"Wang Yen, Plaeng Yao, Chachoengsao","ต.วังเย็น, อ.แปลงยาว, ฉะเชิงเทรา",13.588554,101.286359,Municipality Office Tungsadao,สำนักงานเทศบาลตำบลทุ่งสะเดา,60t,GROUND
"Thung Sukhla, Si Racha, Chon buri","ต.ทุ่งสุขลา อ.ศรีราชา, ชลบุรี",13.119214,100.918596,Laem Chabang Municipal Stadium,สนามกีฬาเทศบาลแหลมฉบัง ,32t,GROUND
"Bo Win, Si Racha, Chon buri","ต.บ่อวิน อ.ศรีราชา, จ.ชลบุรี",13.054551,101.098128,Health Promotion Hospital Bankhaohin,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาหิน,33t,GROUND
"Ban Suan, Mueang, Chon Buri","ต.บ้านสวน,อ.เมือง, ชลบุรี",13.355065,100.977777,"Environment Agency Section 13, Chonburi",สำนักงานสิ่งแวดล้อมภาคที่ 13 ,34t,GROUND
"MaePa, MaeSot, Tak","ต.แม่ปะ อ.แม่สอด, จ.ตาก",16.750102,98.591312,"Non-Formal Education Centre, Mea Sot",ศูนย์การศึกษานอกโรงเรียน,76t,GROUND
"Mueang, Nakhon Pathom","ต.นครปฐม อ.เมืองนครปฐม, จ.นครปฐม",13.830333,100.053471,"Municipal waterworks, Nakhon Pathom",การประปาเทศบาลนครปฐม,m116,MOBILE
"Nai Mueang, Mueang, Nakhon Ratchasima","ต.ในเมือง, อ.เมือง, นครราชสีมา",14.979726,102.098301,Municipal Waste Water Pumping Station,สถานีสูบน้ำประตูพลแสน,47t,GROUND
"Pak Nam Pho, Mueang, Nakhon Sawan","ต.ปากน้ำโพ, อ.เมือง, นครสวรรค์",15.686254,100.110542,Nakhonsawan Irrigation Project ,โครงการชลประทานนครสวรรค์,41t,GROUND
"Bang Krua, Bang Kruai, Nonthaburi","ต.บางกรวย, อ.บางกรวย, นนทบุรี",13.807156,100.506319,EGAT,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,13t,GROUND
"Bang Phut, Pak Kret, Nonthaburi","ต.บางพูด, อ.ปากเกร็ด, นนทบุรี",13.90794,100.535599,Sukhothai Thammathirat Open University,มหาวิทยาลัยสุโขทัยธรรมาธิราช ,22t,GROUND
"Bang Nak, Mueang, Narathiwat","ต.บางนาค อ.เมือง, นราธิวาส",6.426885,101.823005,"City Hall, Narathiwat",ศาลากลางจังหวัดนราธิวาส ,62t,GROUND
"Nai Wiang, Mueang, Nan","ต.ในเวียง อ.เมือง, น่าน",18.788878,100.776359,"Municipality Office, Nan",สำนักงานเทศบาลเมืองน่าน,67t,GROUND
"Huai Kon, Chaloem Phra Kiat, Nan","ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ, จ.น่าน",19.32238,101.025365,Chalermprakiet Hospital,โรงพยาบาลเฉลิมพระเกียรติ ,75t,GROUND
"Khlong Nueng, Khlong Luang, Pathum Thani","ต.คลองหนึ่ง,อ.คลองหลวง, ปทุมธานี",14.037512,100.605124,Bangkok University Rangsit Campus,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต ,20t,GROUND
"Tha Tum, SiMahaPhot, Prachin Buri","ต.ท่าตูม อ.ศรีมหาโพธิ, จ.ปราจีนบุรี",13.934197,101.58696,Bu Yai Bai Hall Station,ศาลาประชาคมบ้านบุยายใบ,77t,GROUND
"Pratu Chai, Phra Nakhon Si Ayutthaya","ต.ประตูชัย, อ.พระนครศรีอยุธยา, พระนครศรีอยุธยา",14.352225,100.565352,Ayutthaya Witthayalai School,โรงเรียนอยุธยาวิทยาลัย,21t,GROUND
"Wiang, Meuang, Phayao","ต.เวียง อ.เมือง, พะเยา",19.163862,99.902715,"Knowledge Park, Phayao",อุทยานการเรียนรู้ องค์การบริหารส่วนจังหวัดพะเยา,70t,GROUND
"Talat Yai, Mueang, Phuket","ต.ตลาดใหญ่ อ.เมือง, ภูเก็ต",7.884508,98.391318,Municipal Health Center,ศูนย์บริการสาธารณสุขเทศบาลภูเก็ต,43t,GROUND
"Sateng, Mueang, Yala","ต.สะเตง อ.เมือง, ยะลา",6.546197,101.2831,White Elephant Park,สนามโรงพิธีช้างเผือก ,63t,GROUND
"Pluak Daeng, Pluak Daeng, Rayong","ต.ปลวกแดง, อ.ปลวกแดง, ระยอง",12.97378,101.212844,Pluakdaeng District Health Office,สำนักงานสาธารณสุขอำเภอปลวกแดง,28t,GROUND
"Map Ta Phut, Meuang, Rayong","ต.มาบตาพุด อ.เมือง, ระยอง",12.70862,101.166055,Health Promotion Hospital Maptaput,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตาพุด ,29t,GROUND
"Tha Pradu, Meuang, Rayong","ต.ท่าประดู่ อ.เมือง, ระยอง",12.671521,101.275875,Agricultural Office,สำนักงานเกษตรจังหวัดระยอง ,30t,GROUND
"Huai Pong, Meuang, Rayong","ต.ห้วยโป่ง อ.เมือง, ระยอง",12.735114,101.13562,"Field Crop Research Center, Rayong",ศูนย์วิจัยพืชไร่ระยอง ,31t,GROUND
"Nern Pra, Meuang, Rayong","ต.เนินพระ อ.เมือง, ระยอง",12.706325,101.180975,"Government Complex, Rayong",ศูนย์ราชการจังหวัดระยอง ,74t,GROUND
"Taphong, Mueang, Rayong","ต.ตะพง อ.เมือง, ระยอง",12.648576,101.32245,Khai Surasinghanat,ค่ายสุรสิงหนาท,m8,MOBILE
"Na Mueang, Mueang, Ratchaburi","ต.หน้าเมือง, อ.เมือง, ราชบุรี",13.532555,99.814873,Environmental Office 8 ratchaburi,สำนักงานสิ่งแวดล้อมภาคที่8,26t,GROUND
"Phra Bat, Meuang, Lampang","ต.พระบาท อ.เมือง, ลำปาง",18.278251,99.506447,"Meteorological stations, Lampang",สถานีอุตุนิยมวิทยาลำปาง,37t,GROUND
"Sop Pat, Mae Mo, Lampang","ต.สบป้าด อ.แม่เมาะ, ลำปาง",18.250747,99.763986,"Health Promotion Hospital Sob Pad, Lampang",โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ,38t,GROUND
"Ban Dong, Mae Mo, Lampang","ต.บ้านดง อ.แม่เมาะ, ลำปาง",18.419425,99.727046,Health Promotion Hospital ,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสี ,39t,GROUND
"Mae Mo, Mae Mo, Lampang","ต.แม่เมาะ อ.แม่เมาะ, ลำปาง",18.282664,99.659873,Provincial Waterworks Authority Mae Moh,การประปาส่วนภูมิภาคแม่เมาะ,40t,GROUND
"ฺBan Klang, Mueang, Lamphun","ต.บ้านกลาง อ.เมือง, ลำพูน",18.567179,99.03856,"Meteorological Staions, Lamphun",อุตุนิยมวิทยาลำพูน,68t,GROUND
"Hat Yai, Songkhla","ต.หาดใหญ่ อ.หาดใหญ่, สงขลา",7.020545,100.48404,Hat Yai Municipality,เทศบาลนครหาดใหญ่ ,44t,GROUND
"Phiman, Mueang, Satun","ต.พิมาน อ.เมือง, จ.สตูล",6.624686,100.066212,"City Hall, Satun",ศาลากลาง จ.สตูล,80t,GROUND
"Song Kanong, Phra Pradaeng, Samut Prakan","ต.ทรงคนอง อ.พระประแดง, สมุทรปราการ",13.664023,100.543406,Prabadang Rehabiltation Center,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ ,08t,GROUND
"Talat, Phra Pradaeng, Samut Prakan","ต.ตลาด อ.พระประแดง, สมุทรปราการ",13.652154,100.53184,Residence for Dept. of Mineral Resources,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,17t,GROUND
"Pak Nam, Meuang, Samut Prakan","ต.ปากน้ำ อ.เมือง, สมุทรปราการ",13.599172,100.597332,City Hall,ศาลากลางจังหวัดสมุทรปราการ ,18t,GROUND
"Bang Sao Thong, Bang Sao Thong, Samut Prakan ","ต.บางเสาธง,อ.บางเสาธง, สมุทรปราการ",13.570333,100.785866,National Housing Authority Bangplee,การเคหะชุมชนเมืองใหม่บางพลี ,19t,GROUND
"Om Noi, Krathum Baen, Samut Sakhon","ต.อ้อมน้อย, อ.กระทุ่มแบน, สมุทรสาคร",13.705458,100.315675,Highway District,แขวงการทางสมุทรสาคร ,14t,GROUND
"Maha Chai, Mueang, Samut Sakhon","ริมถนนคู่ขนานพระราม 2, อ.เมือง สมุทรสาคร",13.550478,100.264254,Samut Sakhon Wittayalai School,โรงเรียนสมุทรสาครวิทยาลัย,27t,GROUND
"Na Phra Lan, Chaloem Phra Kiat, Saraburi","ต.หน้าพระลาน, อ.เฉลิมพระเกียรติ , สระบุรี",14.687391,100.871228,Na Phralan Police Station ,สถานีตำรวจภูธรตำบลหน้าพระลาน ,24t,GROUND
"Pak Phriao, Mueang Saraburi, Saraburi","ต.ปากเพรียว, อ.เมือง, สระบุรี",14.526302,100.926128,Khao Noi Fire Station,สถานีดับเพลิงพระลักษณ์,25t,GROUND
"Aranyaprathet, Aranyaprathet, Sa Kaeo","ต.อรัญประเทศ, อ.อรัญประเทศ, สระแก้ว",13.692122,102.502124,Sriaranyothai Kindergarten,โรงเรียนอนุบาลศรีอรัญโญทัย,71t,GROUND
"Makham Tia, Mueang, Surat Thani","ต.มะขามเตี้ย อ.เมือง, สุราษฎร์ธานี",9.126057,99.325355,"Environment Agency Section 14, Surat Thani",สำนักงานสิ่งแวดล้อมภาคที่ 14,42t,GROUND
"Wiang, Meuang, Chiang Rai","ต.เวียง อ.เมือง, เชียงราย",19.909242,99.823357,"Natural Resources and Environment Office, Chiangrai",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย,57t,GROUND
"Wiang Phang Kham, Mae Sai, Chiang Rai","ต.เวียงพางคำ อ.แม่สาย, เชียงราย",20.427234,99.883724,Maesai Health Office,สำนักงานสาธารณสุขแม่สาย,73t,GROUND
"Chang Phueak, Meuang, Chiang Mai","ต.ช้างเผือก อ.เมือง, เชียงใหม่",18.840633,98.969661,"City Hall, Chiangmai",ศูนย์ราชการจังหวัดเชียงใหม่ ,35t,GROUND
"Si Phum, Meuang, Chiang Mai","ต.ศรีภูมิ อ.เมือง, เชียงใหม่",18.7909205,98.9881062,Yupparaj Wittayalai School,โรงเรียนยุพราชวิทยาลัย ,36t,GROUND
"Suthep, Mueang, Chiang Mai","ต.สุเทพ อ.เมือง, เชียงใหม่",18.804718,98.896851,Mobile Air Quality Monitoring unit No.04,พระตำหนักภูพิงคราชนิเวศน์ (รถโมบาย),m101,MOBILE
"Mae Chaem,Chiang Mai","ต.ช่างเคิ่ง อ.แม่แจ่ม,จ.เชียงใหม่",18.4983,98.3649,Mae Chaem Hospital,โรงพยาบาลแม่แจ่ม,m114,MOBILE
"Na An, Mueang, Loei","ต.นาอาน, อ.เมือง, เลย",17.452765,101.728715,"Provincial Health Office, Loei",สำนักงานสาธารณสุขจังหวัดเลย,72t,GROUND
"Na Chak, Meuang, Phrae","ต.นาจักร อ.เมือง, แพร่",18.128928,100.162345,"Meteorology Center, Phrae",อุตุนิยมวิทยาจังหวัดแพร่,69t,GROUND
"Chong Kham, Meuang, Mae Hong Son","ต.จองคำ อ.เมือง, แม่ฮ่องสอน",19.304686,97.970999,"Natural Resources and Environment Office, Mae Hongson",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน,58t,GROUND
